                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7635,                 5.5338,                 4.2637,                  1e-05,                0.00308,                  1e-05,                      0,                 4.2361,                 5.8618,                  4.189,             0.00036321,             0.00036321,             0.00036321
                      2,                 2.9431,                 4.5772,                 3.5068,                  1e-05,                0.00308,                  1e-05,                      0,                 4.2266,                 5.6964,                 4.2114,             0.00072628,             0.00072628,             0.00072628
                      3,                 2.5452,                 3.8839,                 2.9279,                0.16289,                0.20697,                0.10831,                0.05035,                 1.8212,                 4.2011,                 2.4173,               0.001082,               0.001082,               0.001082
                      4,                 2.2686,                 3.4875,                 2.6316,                0.33203,                0.27065,                0.15827,                0.07917,                 1.9564,                 5.8582,                 2.4066,               0.001078,               0.001078,               0.001078
                      5,                 2.0874,                 2.9495,                  2.481,                0.23005,                0.27485,                 0.2493,                0.14765,                 1.6863,                 3.7429,                 2.2333,               0.001078,               0.001078,               0.001078
                      6,                 1.9261,                 2.5797,                 2.2974,                0.42675,                0.39657,                0.26868,                0.16201,                 1.4189,                 4.2981,                 1.9284,               0.001067,               0.001067,               0.001067
                      7,                 1.7987,                 2.4067,                 2.2241,                0.42228,                0.37326,                0.52447,                0.32217,                 1.2662,                 2.5194,                 1.8018,               0.001056,               0.001056,               0.001056
                      8,                 1.6674,                 2.1127,                  2.067,                0.43895,                0.56743,                0.50281,                 0.3609,                 1.0299,                 2.0725,                 1.5601,               0.001045,               0.001045,               0.001045
                      9,                 1.6015,                 2.0139,                 1.9746,                 0.6359,                 0.7196,                0.74507,                0.52852,                 1.0334,                 1.5048,                 1.4954,               0.001034,               0.001034,               0.001034
                     10,                 1.5319,                 1.8536,                 1.9253,                0.86271,                0.71915,                0.76876,                0.52786,                 1.1064,                 1.4363,                 1.5299,               0.001023,               0.001023,               0.001023
                     11,                 1.4432,                 1.6975,                 1.8268,                0.89841,                0.76166,                0.78818,                0.58301,                0.96557,                 1.2481,                 1.3823,               0.001012,               0.001012,               0.001012
                     12,                 1.3709,                 1.6441,                 1.7516,                 0.5991,                0.63748,                0.70715,                0.52884,                0.94395,                 1.4089,                 1.3648,               0.001001,               0.001001,               0.001001
